,,,,,,,,,,
,Caption,Width,Height,X Coordinate,Y Coordinate,Left%,Top%,Width%,Height%,Filename
Image Size,,4400,2818,,,,,,,
,,,,,,,,,,
MINOTAUR NIXOR,The_Gate_Is_Closed,718,718,1843,1028,50.05%,49.22%,16.32%,,Minotaur_Nixor.md
NODE 1,The Registry,657,657,372,595,15.92%,32.77%,14.93%,,The_Registry.md
NODE 2,The Cut,639,639,1256,353,35.81%,23.86%,14.52%,,The_Cut.md
NODE 3,Brillianteering,653,652,2414,353,62.28%,24.10%,14.84%,,Brillianteering.md
NODE 4,MasterStones,636,634,3300,602,82.23%,32.61%,14.45%,,MasterStones.md
NODE 5,"The ""Lever Pull""",628,627,3301,1547,82.16%,66.02%,14.27%,,The_Lever_Pull.md
NODE 6 ***,The Mandate,652,651,2414,1787,62.27%,74.96%,14.82%,,The_Mandate.md
NODE 7,The Vow,650,649,1245,1787,35.68%,74.93%,14.77%,,The_Vow.md
NODE 8,The Reality,655,545,379,1583,16.06%,65.84%,14.89%,19.34%,The_Reality.md
,,,,,,,,,,
Top of Gold Meander,,,,,45,,1.60%,,,
